FROZEN DIRECT REPLAY 3 interior 1 min_ratio 2.5610337797013676 mass matrix difference 1.3600232051658168e-15
bin required mass slack ratio
0 0.00066187500000000014 0.0089333714376667386 0.0082714964376667394 13.497067327919527
1 0.00085875000000000014 0.0050179165803992554 0.0041591665803992553 5.8432798607269341
2 0.00060562500000000004 0.0036245845898150927 0.0030189595898150925 5.9848661957731144
3 0.00108 0.0030091773585178439 0.0019291773585178439 2.7862753319609666
4 0.00088437500000000007 0.0025804243324207151 0.0016960493324207149 2.9177942981435647
5 0.0013625 0.002332860279519415 0.00097036027951941497 1.7121910308399375
6 0.0019887500000000001 0.0031112441458340787 0.0011224941458340787 1.5644219463653444
7 0.0025806250000000005 0.0040356897819332407 0.0014550647819332402 1.5638420080148181
8 0.0028650000000000004 0.0042434382371155516 0.0013784382371155512 1.4811302747349218
9 0.0042987499999999996 0.0084060875737091336 0.004107337573709134 1.9554725382283535
10 0.0038162500000000006 0.0064471766230988492 0.0026309266230988486 1.6894010148965211
11 0.0044587500000000009 0.0093137569576866655 0.0048550069576866646 2.088871759503597
12 0.0049062500000000026 0.0072049075492181614 0.0022986575492181588 1.4685161883756754
13 0.0049356250000000008 0.021528332572969686 0.016592707572969684 4.3618250116185253
14 0.0056674999999999989 0.028625434976470847 0.022957934976470848 5.0508045834090609
15 0.00863125 0.071070081384045386 0.062438831384045386 8.2340427381949759
16 0.0099200000000000035 0.10405414809905665 0.094134148099056653 10.489329445469417
17 0.010593750000000004 0.10105632405574277 0.090462574055742775 9.5392400288606716
18 0.01052 0.087398562377064379 0.076878562377064377 8.3078481347019366
19 0.010701250000000001 0.10334460287740771 0.092643352877407714 9.6572459177579919
FROZEN DIRECT REPLAY 6 interior 1 min_ratio 3.641990509642282 mass matrix difference 2.220446049250313e-16
bin required mass slack ratio
0 0.00022500000000000002 0.0008324025363504121 0.00060740253635041205 3.6995668282240532
1 9.3750000000000002e-05 0.00034143661027896395 0.00024768661027896397 3.641990509642282
2 0.00040625000000000004 0.0069322330616651689 0.0065259830616651686 17.063958305637339
3 0.00031875000000000008 0.0038409177205686136 0.0035221677205686136 12.049937946881922
4 0.00081874999999999992 0.002981879729769698 0.002163129729769698 3.6419905096423797
5 0.0015749999999999998 0.005736135052686709 0.004161135052686709 3.6419905096423553
6 0.0022125000000000001 0.0080579040025838978 0.0058454040025838977 3.6419905096424396
7 0.0026124999999999998 0.0095147002064415384 0.0069022002064415382 3.6419905096426946
8 0.0035375000000000003 0.01329047745898417 0.0097529774589841696 3.7570254301015318
9 0.0047749999999999997 0.017390504683543244 0.012615504683543244 3.6419905096425644
10 0.0066337500000000016 0.024160054543341185 0.017526304543341184 3.6419905096425369
11 0.0095637500000000011 0.034831086736599931 0.025267336736599928 3.6419905096431764
12 0.010472500000000003 0.038140745612243961 0.027668245612243958 3.6419905096437288
13 0.011697500000000003 0.042602183986554486 0.030904683986554483 3.6419905096434686
14 0.014495000000000003 0.052790652437279394 0.038295652437279393 3.641990509643283
15 0.0160175 0.058645439745304409 0.042627939745304405 3.6613353984894275
16 0.016140000000000002 0.058781726825642339 0.042641726825642337 3.6419905096432674
17 0.017107499999999998 0.06230535264372028 0.045197852643720282 3.641990509643156
18 0.019866249999999995 0.072352693962208725 0.05248644396220873 3.6419905096436791
19 0.018173750000000002 0.066188625024634851 0.048014875024634848 3.6419905096435707
FROZEN DIRECT REPLAY 6 interior 2 min_ratio 3.5417737667363483 mass matrix difference 4.440892098500626e-16
bin required mass slack ratio
0 0.00022499999999999999 0.00083231333449314271 0.00060731333449314277 3.6991703755250787
1 9.0625000000000007e-05 0.00033028027728228092 0.00023965527728228093 3.6444720251837892
2 0.00041875000000000001 0.0070544806805906638 0.006635730680590664 16.846521028276211
3 0.00030937500000000003 0.0037396835525441616 0.0034303085525441614 12.087866028425571
4 0.00080625 0.0028555550994311808 0.0020493050994311807 3.5417737667363483
5 0.001575 0.0056831275297488477 0.0041081275297488477 3.6083349395230777
6 0.0022218750000000003 0.0081646047448996339 0.0059427297448996341 3.6746462986890047
7 0.0026187500000000004 0.0096026775428105383 0.0069839275428105379 3.6668935724336178
8 0.0035406249999999999 0.013466022730086326 0.0099253977300863255 3.8032897384180266
9 0.0047437499999999997 0.017328009876646951 0.012584259876646952 3.6528084061442851
10 0.0066556249999999983 0.024070897361371649 0.01741527236137165 3.6166246387637004
11 0.0095525000000000037 0.034876890032541005 0.025324390032541 3.6510745912107816
12 0.010421875000000001 0.037851431648773699 0.027429556648773699 3.6319214775435031
13 0.0117 0.04251643414676002 0.030816434146760018 3.6338832604068392
14 0.014549375000000002 0.052865549185752356 0.038316174185752352 3.6335271574038299
15 0.016046250000000005 0.058732976646551811 0.042686726646551806 3.6602306860825298
16 0.016119375000000012 0.058913768180038413 0.042794393180038401 3.654841963788197
